Player,Team,Pos,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40
Breanna Stewart,NYL,F,31,948,23.7,.570,.487,.213,.495,4.0,12.4,21.0,2.3,4.0,10.8,27.2,113,100,2.9,2.0,4.9,.205
Kiah Stokes,LVA,C,40,514,7.2,.404,.382,.451,.157,6.6,16.4,4.7,1.7,2.4,22.7,6.3,92,102,-0.1,0.9,0.8,.061
Serena Sundell,DAL,G,3,22,-9.6,.000,.000,1.000,.000,0.0,2.6,0.0,0.0,0.0,66.7,5.9,0,119,-0.1,0.0,-0.1,-0.211
Sug Sutton,WAS,G,43,1122,9.8,.523,.496,.422,.170,0.9,4.2,25.0,1.5,0.3,21.5,15.9,96,109,-0.1,0.7,0.7,.023
Camryn Taylor,MIN,F,6,23,-9.7,.190,.214,.429,.286,10.6,15.5,5.7,0.0,0.0,27.6,21.7,46,105,-0.2,0.0,-0.2,-0.283
Taylor Thierry,ATL,G-F,17,36,5.5,.235,.227,.273,.364,6.7,9.8,8.0,5.8,0.0,7.3,17.6,65,94,-0.1,0.1,0.0,-0.045
Alyssa Thomas,PHO,F,39,1221,25.2,.568,.532,.013,.373,5.9,16.1,53.6,2.6,1.3,20.4,24.4,114,98,4.1,2.8,6.9,.225
Kayla Thornton,GSV,F,22,662,15.1,.493,.435,.514,.297,7.2,13.6,9.8,2.3,0.8,10.3,24.5,101,100,0.4,1.3,1.7,.105
Makayla Timpson,IND,F-C,31,219,17.8,.595,.561,.000,.474,9.8,15.8,0.7,3.0,3.3,10.4,15.7,116,99,0.5,0.5,1.0,.175
Mamignan Touré,CON,G,18,147,5.1,.462,.462,.564,.000,3.1,2.8,10.3,2.5,0.0,17.0,14.5,87,115,-0.2,0.0,-0.2,-0.050
Brianna Turner,IND,F-C,27,233,7.5,.422,.406,.031,.250,9.2,13.0,10.0,0.4,3.1,20.2,8.6,101,106,0.1,0.3,0.3,.056
Maria Kliundikova,MIN,F,34,373,19.6,.539,.531,.195,.164,14.1,16.3,8.1,3.5,6.4,14.4,19.7,106,94,0.5,1.1,1.6,.175
Courtney Vandersloot,CHI,G,7,191,15.4,.516,.477,.348,.197,1.2,6.8,35.3,3.0,1.0,19.2,20.9,101,110,0.1,0.1,0.2,.049
Hailey Van Lith,CHI,G,29,361,5.6,.416,.362,.284,.284,1.3,5.0,20.8,1.7,1.0,22.7,19.7,80,114,-0.9,0.0,-0.9,-0.102
Shatori Walker-Kimbrough,ATL,G,41,354,7.8,.523,.500,.492,.175,1.0,6.2,9.2,1.5,2.7,18.1,10.8,97,102,0.0,0.6,0.6,.072
Kathryn Westbeld,PHO,F,43,792,10.5,.482,.456,.609,.149,4.3,7.9,7.6,2.3,2.9,9.5,14.4,100,103,0.3,1.3,1.6,.080
Maddy Westbeld,CHI,F,26,354,10.4,.478,.443,.410,.152,7.1,10.3,10.9,1.9,1.9,12.5,16.3,100,112,0.1,0.1,0.2,.028
Erica Wheeler,SEA,G,44,1126,13.2,.515,.490,.486,.119,1.8,6.4,20.5,2.5,0.7,13.3,20.7,99,104,0.4,1.7,2.1,.074
Sami Whitcomb,PHO,G,43,1027,11.4,.544,.513,.710,.161,1.8,6.3,17.0,1.6,0.6,15.7,18.6,102,106,0.7,1.2,1.9,.074
Christyn Williams,DAL,G,4,45,8.7,.456,.406,.250,.375,4.9,5.1,10.8,0.0,0.0,5.1,19.0,103,120,0.0,0.0,0.0,-0.004
Courtney Williams,MIN,G,44,1260,17.9,.496,.478,.257,.091,2.2,10.2,35.6,2.3,1.0,14.3,25.7,104,100,1.8,2.6,4.4,.138
Elizabeth Williams,CHI,C-F,43,906,17.2,.502,.480,.000,.248,10.4,14.5,16.3,1.8,4.0,13.4,20.8,102,109,0.7,0.6,1.3,.059
Gabby Williams,SEA,F,44,1391,15.6,.508,.475,.350,.160,2.0,8.2,21.1,3.6,1.4,14.3,19.3,100,100,0.5,2.8,3.4,.097
Kiana Williams,PHO,G,11,107,11.9,.539,.538,.650,.100,0.0,5.9,16.0,1.4,0.0,12.6,20.1,100,106,0.0,0.1,0.2,.060
A'ja Wilson,LVA,C,40,1247,33.4,.596,.524,.090,.441,8.5,19.1,20.6,2.7,6.4,10.0,31.9,119,96,6.2,3.3,9.5,.304
Jackie Young,LVA,G,44,1336,22.3,.596,.548,.408,.260,4.5,8.6,30.9,2.2,1.2,13.9,24.2,117,106,4.9,1.6,6.6,.197
Cecilia Zandalasini,GSV,F,19,450,15.6,.606,.570,.607,.213,1.3,7.3,13.9,2.1,0.9,13.2,19.6,111,103,0.8,0.7,1.6,.139
Alysha Clark,WAS,F,15,343,7.6,.455,.435,.594,.188,2.5,9.5,10.7,1.1,0.6,6.3,10.7,102,108,0.1,0.3,0.4,.050
Jacy Sheldon,WAS,G,2,32,8.7,.533,.450,.600,.500,3.8,5.8,5.5,0.0,0.0,7.6,19.0,108,113,0.0,0.0,0.1,.063
