Season,Date,home_abbr,away_abbr,home_pts,away_pts,home_win,opponent_abbr,ELO_t,opp_pre_elo_t,O_mean,O_var,O_p90,SOS_t,elo_avg_pre,O_t_list_json,O_len,O_mean_calc,O_var_calc,O_p90_calc
2021,2021-05-16,IND,NYL,65.0,73.0,0.0,NYL,1491.4292623481676,1508.5707376518324,1499.222237387088,341.49533135957466,1519.7262359870017,0.999481491591392,1500.0,"[1520.0,1477.791,1487.537,1478.232,1512.321,1519.452]",6,1499.2221666666667,341.49484513888893,1519.726
2021,2021-05-19,CON,IND,88.0,67.0,1.0,CON,1480.4863276135525,1520.0,1495.0666848645055,306.1826970238422,1516.599753644067,0.9967111232430036,1500.0,"[1477.791,1487.537,1478.232,1512.321,1519.452]",5,1495.0665999999999,306.1814082399998,1516.5996
2021,2021-05-21,IND,ATL,79.0,83.0,0.0,ATL,1473.00720577064,1477.7911284450092,1499.3855739693795,289.46435577880425,1517.312933226551,0.999590382646253,1500.0,"[1487.537,1478.232,1512.321,1519.452]",4,1499.3855,289.46227424999955,1517.3127
2021,2021-05-23,IND,WAS,89.0,77.0,1.0,WAS,1461.7130804258425,1487.5372156590029,1503.335026739505,323.5597656379304,1518.0261128090349,1.00222335115967,1500.0,"[1478.232,1512.321,1519.452]",3,1503.335,323.55549799999994,1518.0258
2021,2021-05-25,IND,WAS,69.0,85.0,0.0,WAS,1471.0183639894965,1478.2319320953488,1515.886574061583,12.7156279218008,1518.739292391519,1.0105910493743886,1500.0,"[1512.321,1519.452]",2,1515.8865,12.712790250000305,1518.7389
2021,2021-05-28,LVA,IND,113.0,77.0,1.0,LVA,1459.7930594484194,1512.320676149163,1519.452471974003,0.0,1519.452471974003,1.0129683146493351,1500.0000000000002,[1519.452],1,1519.452,0.0,1519.452
2021,2021-05-30,LVA,IND,101.0,78.0,1.0,LVA,1452.6612636235795,1519.452471974003,,,,,1500.0,[],0,,,
2022,2022-05-06,WAS,IND,84.0,70.0,1.0,WAS,1500.0,1500.0,1507.209699850392,196.52875499778852,1520.4017258312251,1.0048064665669278,1500.0,"[1511.429,1480.486,1499.432,1508.626,1519.836,1511.373,1519.047,1511.542,1484.83,1525.495]",10,1507.2096000000001,196.53073383999947,1520.4019
2022,2022-05-08,IND,LAS,77.0,87.0,0.0,LAS,1491.4292623481676,1511.4292623481676,1506.7408595728616,216.16717127252625,1520.967657002133,1.0044939063819078,1499.9999999999998,"[1480.486,1499.432,1508.626,1519.836,1511.373,1519.047,1511.542,1484.83,1525.495]",9,1506.7407777777776,216.16953928394994,1520.9678
2022,2022-05-10,IND,MIN,82.0,76.0,1.0,MIN,1480.5679325077233,1480.4863276135525,1510.0226760677751,146.25519212500797,1521.5335881730405,1.0066817840451834,1500.0,"[1499.432,1508.626,1519.836,1511.373,1519.047,1511.542,1484.83,1525.495]",8,1510.022625,146.25604098437506,1521.5337
2022,2022-05-13,NYL,IND,86.0,92.0,0.0,NYL,1489.1363694397885,1499.4320674922767,1511.5356201499892,148.83679263275698,1522.099519343948,1.0076904134333262,1500.0,"[1508.626,1519.836,1511.373,1519.047,1511.542,1484.83,1525.495]",7,1511.5355714285713,148.8377059591839,1522.0996
2022,2022-05-15,IND,ATL,79.0,85.0,0.0,ATL,1500.8546038243223,1508.626316728862,1512.0205040535104,171.99713793895876,1522.6654505148556,1.008013669369007,1500.0,"[1519.836,1511.373,1519.047,1511.542,1484.83,1525.495]",6,1512.0204999999999,171.99790025000027,1522.6655
2022,2022-05-17,IND,ATL,79.0,101.0,0.0,ATL,1489.6451258928664,1519.8357946603178,1510.4574459321489,191.73766138222572,1522.9159860897594,1.0069716306214325,1500.0,"[1511.373,1519.047,1511.542,1484.83,1525.495]",5,1510.4573999999998,191.73779064000016,1522.9158
